[(0, 6), (6, 5), (5, 1), (1, 1), (1, 3), (3, 3), (3, 0), (0, 1)];1;0;(0, 2);[4.666, 4.9990000000000006, 3.667, 3.833, 2.833, 3.333, 4.333];Minimax Algorithm
[(2, 0), (0, 6), (6, 5), (5, 1), (1, 1), (1, 3), (3, 3), (3, 0), (0, 1)];1;0;(2, 3);[5.0, 5.5, 2.9, 6.0, 3.15, 4.8, 3.75];Greedy Algorithm
[(3, 2), (2, 0), (0, 6), (6, 5), (5, 1), (1, 1), (1, 3), (3, 3), (3, 0), (0, 1)];0;0;(3, 4);[6.0, 5.5, 4.4, 6.0, 7.5, 5.9, 4.5];Greedy Algorithm
[(4, 3), (3, 2), (2, 0), (0, 6), (6, 5), (5, 1), (1, 1), (1, 3), (3, 3), (3, 0), (0, 1)];1;0;(4, 4);[6.333, 7.0, 6.667, 6.0329999999999995, 11.0, 5.433, 6.6];Minimax Algorithm
[];0;0;(1, 1);[2.286, 3.144, 2.286, 0.286, 3.286, 2, 1];Minimax Algorithm
[(1, 1)];0;0;(1, 5);[0.333, 3.332, 1.333, 1.5, 2.333, 4.167, 4];Greedy Algorithm
[(1, 1), (1, 5)];1;2;(0, 5);[3.3320000000000003, 4.332, 2.666, 0.666, 3.333, 3, 1.333];Minimax Algorithm
[(1, 1), (1, 5), (5, 0)];1;1;(1, 6);[3.3320000000000003, 4.332, 2.666, 0.666, 3.333, 3, 1.333];Minimax Algorithm
[(6, 1), (1, 1), (1, 5), (5, 0)];1;1;(5, 6);[4.0, 5.0489999999999995, 2.183, 2.433, 2.433, 5.25, 5.75];Greedy Algorithm
[(5, 6), (6, 1), (1, 1), (1, 5), (5, 0)];1;1;(2, 5);[3.6, 4.466, 3.2, 1.133, 3.333, 4, 2.4];Minimax Algorithm
[(2, 5), (5, 6), (6, 1), (1, 1), (1, 5), (5, 0)];1;1;(2, 6);[5.0, 5.2989999999999995, 3.433, 2.683, 2.433, 6.25, 6.0];Greedy Algorithm
[(6, 2), (2, 5), (5, 6), (6, 1), (1, 1), (1, 5), (5, 0)];0;1;(0, 4);[3.7, 4.633, 4.2, 1.633, 4.0, 4, 3.5];Minimax Algorithm
[(6, 2), (2, 5), (5, 6), (6, 1), (1, 1), (1, 5), (5, 0), (0, 4)];0;1;(4, 6);[5.5, 5.2989999999999995, 3.433, 2.683, 3.433, 6.25, 5.5];Greedy Algorithm
[(6, 2), (2, 5), (5, 6), (6, 1), (1, 1), (1, 5), (5, 0), (0, 4), (4, 6)];0;0;(3, 6);[6.0, 6.366, 4.933, 8.5, 4.933, 7.5, 5.5];Greedy Algorithm
[];0;0;(1, 1);[1.286, 3.144, 3, 1.286, 1.286, 2, 2.286];Greedy Algorithm
[(1, 1)];1;1;(1, 5);[2.6660000000000004, 3.332, 2, 2.333, 3.333, 3.6660000000000004, 0.666];Minimax Algorithm
[(1, 1), (1, 5)];1;1;(5, 5);[1.666, 4.332000000000001, 3, 1.333, 1.333, 3.6660000000000004, 2.6660000000000004];Greedy Algorithm
[(1, 1), (1, 5), (5, 5)];0;2;(4, 5);[3.133, 3.5999999999999996, 2, 2.4, 4.2, 4.666, 1.133];Minimax Algorithm
[(1, 1), (1, 5), (5, 5), (5, 4)];0;2;(3, 4);[1.733, 4.800000000000001, 3.6, 2.8000000000000003, 2.4, 4.666, 3.333];Greedy Algorithm
[(1, 1), (1, 5), (5, 5), (5, 4), (4, 3)];0;2;(0, 3);[3.5, 4.0, 2, 3.5, 5.4, 4.833, 1.233];Minimax Algorithm
[(1, 1), (1, 5), (5, 5), (5, 4), (4, 3), (3, 0)];0;2;(0, 6);[2.833, 5.0, 3.6, 3.6, 3.0, 4.833, 4.0];Greedy Algorithm
[(1, 1), (1, 5), (5, 5), (5, 4), (4, 3), (3, 0), (0, 6)];0;0;(2, 6);[2.833, 5.0, 3.5, 3.5, 3.0, 4.833, 4.0];Greedy Algorithm
[(1, 1), (1, 5), (5, 5), (5, 4), (4, 3), (3, 0), (0, 6), (6, 2)];0;2;(0, 2);[6.0, 6.0, 3, 4.0, 6.4, 5.333, 3.733];Minimax Algorithm
[(1, 1), (1, 5), (5, 5), (5, 4), (4, 3), (3, 0), (0, 6), (6, 2), (2, 0)];0;2;(1, 2);[5.0009999999999994, 5.167, 4.333, 3.333, 3.667, 5.167, 4.0];Greedy Algorithm
[(2, 1), (1, 1), (1, 5), (5, 5), (5, 4), (4, 3), (3, 0), (0, 6), (6, 2), (2, 0)];1;0;(2, 4);[9.0, 8.0, 4, 4.0, 8.0, 6.333, 4.333];Minimax Algorithm
[(4, 2), (2, 1), (1, 1), (1, 5), (5, 5), (5, 4), (4, 3), (3, 0), (0, 6), (6, 2), (2, 0)];1;0;(4, 4);[9.0, 8.0, 4, 4.0, 8.0, 6.333, 4.333];Minimax Algorithm
[];0;0;(1, 1);[2, 3.572, 2.286, 1.286, 1, 3, 1];Minimax Algorithm
[(1, 1)];0;0;(1, 6);[1.333, 3.666, 3.333, 0.666, 2.333, 1, 3.9989999999999997];Greedy Algorithm
[(1, 1), (1, 6)];2;1;(1, 5);[2.6660000000000004, 4.572, 2.286, 1.619, 1.666, 3.6660000000000004, 2.9990000000000006];Minimax Algorithm
[(5, 1), (1, 1), (1, 6)];2;1;(6, 6);[1.7999999999999998, 4.666, 3.333, 0.7330000000000001, 2.8, 2.8, 4.199999999999999];Greedy Algorithm
[(5, 1), (1, 1), (1, 6), (6, 6)];2;1;(2, 5);[2.733, 4.686, 2.8, 2.086, 1.733, 3.6660000000000004, 4.199999999999999];Minimax Algorithm
[(2, 5), (5, 1), (1, 1), (1, 6), (6, 6)];2;1;(5, 6);[1.9, 4.583, 4.5, 0.983, 2.9, 4.0, 4.199999999999999];Greedy Algorithm
[(2, 5), (5, 1), (1, 1), (1, 6), (6, 6), (6, 5)];1;1;(2, 6);[2.5, 4.686, 2.8, 1.936, 1.5, 4.5, 4.75];Minimax Algorithm
[(6, 2), (2, 5), (5, 1), (1, 1), (1, 6), (6, 6), (6, 5)];0;1;(3, 5);[3.25, 5.15, 3.15, 4.75, 2.25, 4.5, 5.25];Minimax Algorithm
[];0;0;(3, 3);[0, 2, 0, 2.572, 3.286, 2, 2.286];Greedy Algorithm
[(3, 3)];3;3;(3, 5);[3, 1.333, 2.333, 4.334, 1.167, 3.666, 0.167];Minimax Algorithm
[(3, 3), (3, 5)];3;3;(5, 6);[0.333, 2.333, 0.333, 3.6660000000000004, 3.6660000000000004, 3, 3.665];Greedy Algorithm
[(3, 3), (3, 5), (5, 6)];2;0;(0, 3);[4.3999999999999995, 1.9329999999999998, 3.333, 4.7669999999999995, 2.167, 4.666, 4.0];Minimax Algorithm
